item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O01281,P0057,5,9483.99,19
I00002,O01239,P0277,5,297.21,23
I00003,O00185,P0400,1,7076.83,29
I00004,O01133,P0033,3,6583.82,16
I00005,O00407,P0081,2,8397.68,12
I00006,O00331,P0467,2,3801.41,13
I00007,O00510,P0482,2,235.04,27
I00008,O01079,P0053,1,5064.84,25
I00009,O00580,P0155,4,340.02,20
I00010,O00254,P0417,2,7862.13,20
I00011,O00553,P0442,4,940.67,2
I00012,O00851,P0011,5,245.94,26
I00013,O00311,P0049,5,7385.15,25
I00014,O01241,P0440,4,3190.68,10
I00015,O00048,P0155,4,2813.09,6
I00016,O01344,P0296,1,4766.86,9
I00017,O00833,P0288,4,2857.72,9
I00018,O00784,P0009,5,9932.22,23
I00019,O01120,P0366,4,1172.21,7
I00020,O00814,P0395,5,2397.94,11
I00021,O01317,P0160,4,3391.11,25
I00022,O00347,P0107,1,8661.79,15
I00023,O00290,P0207,5,6203.24,15
I00024,O01161,P0390,5,2401.05,24
I00025,O00638,P0380,4,3444.9,4
I00026,O01158,P0307,1,4124.69,0
I00027,O01152,P0407,3,4938.4,15
I00028,O00483,P0165,3,4667.58,15
I00029,O00167,P0472,5,1139.93,22
I00030,O00028,P0083,1,5247.4,3
I00031,O00233,P0020,2,8866.48,15
I00032,O01075,P0250,2,1484.67,27
I00033,O00019,P0152,5,1264.07,9
I00034,O01260,P0456,3,3779.15,20
I00035,O01072,P0351,2,2124.17,19
I00036,O00515,P0242,3,4682.51,29
I00037,O01475,P0437,3,9285.63,5
I00038,O00971,P0006,5,3245.11,5
I00039,O00012,P0160,2,7044.5,6
I00040,O00678,P0049,1,704.97,14
I00041,O00718,P0326,5,5635.65,7
I00042,O00395,P0141,3,2913.46,29
I00043,O00627,P0189,4,6282.56,12
I00044,O01314,P0338,3,2105.62,18
I00045,O00444,P0144,2,1865.42,18
I00046,O01070,P0301,1,6483.82,12
I00047,O01213,P0310,3,2844.65,25
I00048,O00970,P0108,5,1764.18,25
I00049,O00188,P0476,2,8053.2,4
I00050,O00001,P0166,2,870.1,1
I00051,O00901,P0218,2,6681.94,10
I00052,O00241,P0124,3,5645.44,12
I00053,O00728,P0160,4,8402.63,10
I00054,O01240,P0432,5,2217.6,5
I00055,O00896,P0287,3,4472.3,22
I00056,O01143,P0461,3,4410.59,11
I00057,O00749,P0438,-2,4714.15,21
I00058,O00438,P0316,3,5641.96,29
I00059,O00367,P0478,2,7501.52,0
I00060,O01078,P0100,2,155.58,9
I00061,O00756,P0469,3,2612.23,29
I00062,O00069,P0332,1,2822.02,15
I00063,O01425,P0361,4,2605.08,20
I00064,O00063,P0442,1,7208.49,15
I00065,O01005,P0089,5,4787.14,27
I00066,O00079,P0190,5,385.49,28
I00067,O00363,P0446,2,8524.34,2
I00068,O00245,P0029,4,4489.44,22
I00069,O01115,P0143,1,9835.69,6
I00070,O00682,P0429,5,6752.71,28
I00071,O00347,P0464,3,9864.08,23
I00072,O01361,P0207,3,4222.15,21
I00073,O01028,P0076,1,7316.67,2
I00074,O00565,P0312,2,2066.97,16
I00075,O00007,P0160,4,2810.26,11
I00076,O01164,P0429,1,6993.29,18
I00077,O00186,P0094,4,7322.55,5
I00078,O00042,P0393,3,1776.42,0
I00079,O00943,P0042,2,8784.26,30
I00080,O01395,P0329,2,9432.31,27
I00081,O00272,P0159,2,628.02,22
I00082,O00288,P0290,3,3223.86,7
I00083,O00409,P0091,2,9794.85,8
I00084,O01004,P0182,4,5829.09,11
I00085,O01293,P0352,5,8334.13,1
I00086,O01102,P0292,5,2185.56,22
I00087,O01397,P0408,4,2958.02,10
I00088,O00551,P0047,5,5181.4,6
I00089,O00535,P0017,3,9227.0,16
I00090,O00957,P0301,2,3297.61,18
I00091,O00070,P0166,4,7042.75,20
I00092,O00017,P0082,3,4271.94,10
I00093,O00206,P0096,3,9140.17,9
I00094,O00382,P0386,2,315.32,25
I00095,O01180,P0356,5,4406.19,12
I00096,O00518,P0371,4,3794.83,10
I00097,O00615,P0021,4,9710.58,28
I00098,O01039,P0056,2,4267.76,24
I00099,O00821,P0304,3,382.7,16
I00100,O01223,P0495,2,7006.55,16
I00101,O01164,P0385,2,1481.54,21
I00102,O00111,P0497,3,994.95,25
I00103,O00940,P0203,2,1736.89,0
I00104,O00353,P0155,2,3144.51,5
I00105,O00895,P0047,2,7268.93,4
I00106,O00767,P0003,5,4825.71,11
I00107,O01407,P0202,1,7017.92,29
I00108,O00950,P0362,4,2503.15,29
I00109,O00652,P0391,1,9359.1,12
I00110,O01382,P0374,3,8739.57,19
I00111,O00711,P0251,4,6731.78,18
I00112,O01247,P0092,1,7701.65,11
I00113,O00004,P0313,3,6031.78,12
I00114,O00283,P0256,1,1960.91,6
I00115,O00696,P0197,3,6575.04,13
I00116,O00793,P0346,2,8230.62,1
I00117,O00864,P0092,3,1719.07,21
I00118,O00953,P0413,5,918.14,21
I00119,O00829,P0412,1,8088.46,5
I00120,O01039,P0197,3,6894.36,0
I00121,O01373,P0206,4,4282.32,1
I00122,O01299,P0060,3,6076.0,25
I00123,O00970,P0365,4,3417.13,17
I00124,O00367,P0218,3,5363.95,12
I00125,O00691,P0486,1,9348.35,18
I00126,O01259,P0373,3,8734.83,13
I00127,O00082,P0063,1,8692.18,14
I00128,O01228,P0352,3,3756.03,13
I00129,O00049,P0278,3,2745.63,9
I00130,O00915,P0167,3,3047.07,1
I00131,O01499,P0019,5,5359.56,12
I00132,O01096,P0049,2,1347.94,4
I00133,O00563,P0177,4,9721.34,22
I00134,O01073,P0292,5,4638.35,2
I00135,O00301,P0312,3,9770.75,20
I00136,O01486,P0041,1,3443.95,20
I00137,O00046,P0095,3,9508.55,8
I00138,O00888,P0495,1,1252.61,6
I00139,O00621,P0316,5,5188.99,27
I00140,O00101,P0192,2,5776.03,6
I00141,O01411,P0399,4,1938.56,16
I00142,O00372,P0348,1,2920.63,0
I00143,O00849,P0337,4,1384.69,8
I00144,O01301,P0163,4,1061.76,7
I00145,O00453,P0033,1,6152.72,23
I00146,O01205,P0216,5,6384.25,10
I00147,O01143,P0007,5,3495.21,10
I00148,O00311,P0237,3,8558.12,15
I00149,O00349,P0345,2,3961.61,12
I00150,O01171,P0496,1,878.22,15
I00151,O00171,P0107,5,7505.31,16
I00152,O00646,P0232,3,6777.56,0
I00153,O00342,P0320,2,3581.1,13
I00154,O00048,P0385,4,9736.23,17
I00155,O00769,P0472,4,5422.17,12
I00156,O00253,P0050,5,4017.92,6
I00157,O00366,P0443,1,1675.26,24
I00158,O00721,P0385,4,2255.75,28
I00159,O00744,P0323,5,1145.82,28
I00160,O01091,P0201,3,2328.48,12
I00161,O00587,P0423,4,9253.05,5
I00162,O00007,P0273,2,8315.68,24
I00163,O01400,P0465,4,1073.4,18
I00164,O00841,P0097,4,6400.53,19
I00165,O01270,P0258,2,9989.21,19
I00166,O00047,P0167,5,6137.14,5
I00167,O01402,P0047,5,9523.28,0
I00168,O01340,P0200,5,5565.37,27
I00169,O00331,P0235,2,3753.74,27
I00170,O01460,P0472,2,2077.87,4
I00171,O00064,P0106,3,5818.26,14
I00172,O00909,P0124,2,7987.86,14
I00173,O01238,P0429,5,3379.47,29
I00174,O01479,P0493,2,791.44,23
I00175,O00833,P0444,1,5245.7,15
I00176,O00855,P0491,4,2674.29,22
I00177,O01244,P0332,5,9893.17,22
I00178,O01487,P0031,1,3000.33,12
I00179,O01468,P0475,1,5164.44,20
I00180,O00255,P0054,4,1545.24,8
I00181,O00229,P0370,5,1772.64,13
I00182,O00498,P0408,3,4877.65,8
I00183,O01421,P0038,1,4636.6,22
I00184,O00533,P0176,4,3023.39,14
I00185,O01433,P0133,3,5725.49,19
I00186,O00304,P0268,1,2955.46,7
I00187,O01462,P0150,3,3135.96,22
I00188,O00625,P0244,2,7159.48,21
I00189,O01424,P0066,3,1550.61,9
I00190,O00467,P0015,4,8524.1,18
I00191,O00025,P0133,3,3705.2,16
I00192,O01267,P0461,5,1787.06,11
I00193,O01027,P0161,2,5281.04,12
I00194,O01076,P0247,4,1836.33,28
I00195,O00133,P0176,-4,2325.77,6
I00196,O01247,P0399,2,7314.74,3
I00197,O00941,P0292,2,9135.75,29
I00198,O01074,P0460,1,2360.88,6
I00199,O00817,P0321,3,1078.52,10
I00200,O01134,P0493,5,5394.06,23
I00201,O00115,P0229,5,5710.35,7
I00202,O00375,P0354,2,9369.7,27
I00203,O01470,P0234,2,1856.56,19
I00204,O00188,P0381,3,1981.14,26
I00205,O00272,P0268,1,3097.33,6
I00206,O01191,P0245,2,4696.29,17
I00207,O01299,P0038,1,2044.62,3
I00208,O00405,P0052,4,5469.45,6
I00209,O01166,P0005,5,5858.96,27
I00210,O00907,P0399,1,6462.01,18
I00211,O00002,P0129,5,7570.15,19
I00212,O00362,P0169,3,5122.2,16
I00213,O00614,P0136,3,8685.88,7
I00214,O01150,P0258,3,3157.16,14
I00215,O00374,P0250,1,164.52,28
I00216,O00335,P0092,5,749.04,13
I00217,O00908,P0176,3,6415.04,17
I00218,O00223,P0391,2,2394.85,9
I00219,O01087,P0242,5,1118.88,9
I00220,O01377,P0080,5,3305.28,6
I00221,O00324,P0313,4,6659.65,10
I00222,O01339,P0305,5,7908.61,24
I00223,O00539,P0242,3,9349.87,26
I00224,O00628,P0171,3,7294.43,26
I00225,O00872,P0289,3,3996.07,13
I00226,O00828,P0029,1,9689.93,11
I00227,O00562,P0010,2,8203.48,6
I00228,O00525,P0151,2,8342.26,0
I00229,O00784,P0167,3,5624.87,23
I00230,O01265,P0258,2,4457.02,8
I00231,O00329,P0167,1,7256.21,30
I00232,O00095,P0400,5,6628.24,22
I00233,O01243,P0301,4,3812.69,3
I00234,O00566,P0276,1,3757.54,29
I00235,O00276,P0451,3,7523.28,10
I00236,O00309,P0302,4,3058.67,6
I00237,O00503,P0168,5,5770.06,24
I00238,O00597,P0354,3,316.33,24
I00239,O01433,P0365,1,7416.68,30
I00240,O00914,P0383,3,8857.39,5
I00241,O00944,P0186,3,3396.82,21
I00242,O00048,P0072,3,1279.99,13
I00243,O00997,P0409,4,575.51,16
I00244,O01050,P0192,1,260.39,13
I00245,O00670,P0405,1,5434.21,9
I00246,O00138,P0377,5,847.97,2
I00247,O01090,P0082,5,8006.05,27
I00248,O00960,P0313,1,6536.72,6
I00249,O00883,P0419,1,2840.96,14
I00250,O00150,P0094,2,6513.61,10
I00251,O01419,P0379,4,8220.06,13
I00252,O00602,P0004,1,6274.53,12
I00253,O00661,P0219,-1,1589.9,27
I00254,O00669,P0273,2,4631.76,21
I00255,O01177,P0474,2,3610.99,28
I00256,O00304,P0106,5,3153.97,3
I00257,O00081,P0400,1,1360.5,11
I00258,O00646,P0476,1,2378.03,6
I00259,O00869,P0139,2,2406.49,29
I00260,O00056,P0071,2,8788.61,30
I00261,O00769,P0014,4,4495.13,23
I00262,O00916,P0225,2,4051.86,6
I00263,O00256,P0048,4,9695.51,16
