order_id,customer_id,order_date,status,region_code
O00001,C0288,2026-04-29 00:04:41,SHIPPED,SOUTH
O00002,C0194,2026-07-15 00:04:41,SHIPPED,NORTH
O00003,C0486,2026-03-18 00:04:41,RETURNED,NORTH
O00004,C0094,2026-04-27 00:04:41,RETURNED,NORTH
O00005,C0480,2025-07-14 00:04:41,SHIPPED,EAST
O00006,C0164,2024-11-07 00:04:41,DELIVERED,WEST
O00007,C0006,2025-04-21 00:04:41,DELIVERED,EAST
O00008,C0403,2024-10-08 00:00:00,CANCELLED,WEST
O00009,C0497,2025-10-06 00:04:41,CANCELLED,EAST
O00010,C0280,2025-12-12 00:04:41,RETURNED,SOUTH
O00011,C0084,2024-09-12 00:04:41,DELIVERED,EAST
O00012,C0488,2025-07-25 00:04:41,CANCELLED,SOUTH
O00013,C0375,2024-11-12 00:04:41,RETURNED,WEST
O00014,UNKNOWN,2026-06-09 00:04:41,CANCELLED,SOUTH
O00015,C0028,2025-03-07 00:04:41,CANCELLED,EAST
O00016,C0339,2025-04-09 00:04:41,CANCELLED,WEST
O00017,C0079,2024-08-12 00:04:41,DELIVERED,WEST
O00018,C0103,2025-03-08 00:04:41,DELIVERED,NORTH
O00019,C0243,2025-06-20 00:04:41,CANCELLED,WEST
O00020,C0459,2024-11-10 00:04:41,CANCELLED,SOUTH
O00021,C0190,2025-08-22 00:04:41,PLACED,EAST
O00022,C0226,2025-03-28 00:04:41,RETURNED,NORTH
O00023,C0078,2026-06-23 00:04:41,DELIVERED,WEST
O00024,C0498,2025-03-29 00:04:41,CANCELLED,WEST
O00025,C0495,2025-12-08 00:04:41,SHIPPED,WEST
O00026,C0154,2024-09-13 00:04:41,RETURNED,SOUTH
O00027,C0062,2025-11-11 00:04:41,SHIPPED,SOUTH
O00028,C0414,2024-09-21 00:04:41,CANCELLED,SOUTH
O00029,C0422,2026-04-10 00:04:41,PLACED,NORTH
O00030,C0199,2026-02-25 00:04:41,DELIVERED,WEST
O00031,C0470,2026-07-27 00:04:41,RETURNED,WEST
O00032,C0058,2025-01-07 00:04:41,RETURNED,NORTH
O00033,C0474,2024-11-20 00:04:41,RETURNED,EAST
O00034,C0450,2025-09-05 00:04:41,RETURNED,WEST
O00035,C0020,2025-09-25 00:04:41,RETURNED,WEST
O00036,C0020,2025-07-14 00:04:41,PLACED,WEST
O00037,C0472,2025-08-25 00:00:00,DELIVERED,EAST
O00038,C0144,2026-07-22 00:04:41,SHIPPED,SOUTH
O00039,C0154,2025-11-05 00:04:41,DELIVERED,EAST
O00040,C0374,2026-06-01 00:04:41,CANCELLED,SOUTH
O00041,C0468,2025-12-18 00:04:41,DELIVERED,NORTH
O00042,C0264,2024-10-15 00:04:41,RETURNED,WEST
O00043,C0070,2026-01-27 00:04:41,PLACED,SOUTH
O00044,C0099,2025-03-02 00:04:41,SHIPPED,NORTH
O00045,C0234,2025-08-13 00:04:41,DELIVERED,EAST
O00046,C0422,2025-09-19 00:04:41,PLACED,NORTH
O00047,C0124,2026-04-09 00:04:41,CANCELLED,EAST
O00048,C0177,2025-04-30 00:04:41,PLACED,EAST
O00049,C0015,2025-01-22 00:04:41,SHIPPED,SOUTH
O00050,C0332,2025-03-08 00:04:41,CANCELLED,NORTH
O00051,C0443,2026-08-07 00:00:00,SHIPPED,SOUTH
O00052,C0308,2025-03-26 00:04:41,DELIVERED,EAST
O00053,C0217,2025-08-01 00:04:41,SHIPPED,WEST
O00054,C0155,2026-05-09 00:04:41,PLACED,NORTH
O00055,C0262,2025-08-27 00:04:41,RETURNED,EAST
O00056,C0153,2025-12-15 00:04:41,DELIVERED,EAST
O00057,C0442,2026-06-11 00:04:41,DELIVERED,SOUTH
O00058,C0077,2025-04-12 00:04:41,RETURNED,WEST
O00059,C0339,2024-12-30 00:04:41,CANCELLED,EAST
O00060,C0133,2025-09-27 00:04:41,PLACED,SOUTH
O00061,C0176,2025-03-24 00:04:41,CANCELLED,EAST
O00062,C0260,2025-01-30 00:04:41,RETURNED,SOUTH
O00063,C0151,2024-12-18 00:04:41,RETURNED,SOUTH
O00064,C0485,2025-07-18 00:04:41,SHIPPED,EAST
O00065,C0115,2025-06-19 00:04:41,DELIVERED,EAST
O00066,C0134,2025-11-26 00:04:41,CANCELLED,NORTH
O00067,C0444,2026-03-26 00:04:41,PLACED,WEST
O00068,C0456,2024-12-09 00:04:41,CANCELLED,EAST
O00069,C0212,2025-01-10 00:04:41,SHIPPED,EAST
O00070,C0210,2025-11-20 00:04:41,SHIPPED,NORTH
O00071,C0250,2025-02-06 00:04:41,PLACED,NORTH
O00072,C0232,2025-01-28 00:04:41,SHIPPED,WEST
O00073,C0403,2024-11-07 00:04:41,CANCELLED,WEST
O00074,C0207,2025-12-10 00:04:41,PLACED,SOUTH
O00075,C0375,2024-08-23 00:04:41,RETURNED,SOUTH
O00076,C0010,2026-05-12 00:04:41,SHIPPED,EAST
O00077,C0160,2025-09-05 00:04:41,DELIVERED,SOUTH
O00078,C0034,2025-06-10 00:04:41,CANCELLED,EAST
O00079,C0223,2024-12-24 00:04:41,CANCELLED,EAST
O00080,C0385,2025-09-26 00:00:00,SHIPPED,SOUTH
O00081,C0109,2026-04-04 00:04:41,PLACED,EAST
O00082,C0365,2024-09-16 00:04:41,DELIVERED,NORTH
O00083,C0305,2026-06-17 00:04:41,PLACED,NORTH
O00084,C0354,2025-11-06 00:04:41,RETURNED,EAST
O00085,C0243,2025-03-07 00:04:41,PLACED,EAST
O00086,C0216,2026-06-18 00:04:41,RETURNED,SOUTH
O00087,C0215,2024-11-24 00:04:41,RETURNED,NORTH
O00088,C0145,2024-11-25 00:04:41,RETURNED,SOUTH
O00089,C0399,2026-01-26 00:04:41,DELIVERED,WEST
O00090,C0152,2026-02-21 00:04:41,SHIPPED,WEST
O00091,C0170,2024-08-22 00:04:41,PLACED,WEST
O00092,C0077,2026-01-14 00:04:41,PLACED,EAST
O00093,C0330,2025-06-08 00:04:41,PLACED,NORTH
O00094,C0417,2024-09-18 00:04:41,DELIVERED,EAST
O00095,C0219,2024-11-14 00:04:41,PLACED,NORTH
O00096,C0437,2026-06-02 00:04:41,DELIVERED,WEST
O00097,C0490,2024-11-12 00:04:41,DELIVERED,SOUTH
O00098,C0059,2025-11-19 00:04:41,CANCELLED,WEST
O00099,C0410,2025-01-26 00:04:41,PLACED,SOUTH
O00100,C0054,2026-04-05 00:04:41,RETURNED,WEST
O00101,C0093,2025-08-11 00:04:41,SHIPPED,WEST
O00102,C0472,2025-10-04 00:04:41,PLACED,EAST
O00103,C0336,2026-07-31 00:04:41,RETURNED,SOUTH
O00104,C0490,2025-07-21 00:04:41,RETURNED,NORTH
O00105,C0222,2025-04-20 00:04:41,CANCELLED,SOUTH
O00106,C0430,2026-04-28 00:04:41,SHIPPED,WEST
O00107,C0437,2025-01-25 00:04:41,CANCELLED,EAST
O00108,C0124,2025-05-20 00:04:41,SHIPPED,WEST
O00109,C0207,2024-10-28 00:04:41,RETURNED,WEST
O00110,C0046,2025-11-09 00:04:41,CANCELLED,NORTH
O00111,C0053,2024-09-14 00:04:41,PLACED,NORTH
O00112,C0406,2026-05-04 00:04:41,RETURNED,SOUTH
O00113,C0336,2025-07-24 00:04:41,PLACED,SOUTH
O00114,C0433,2026-03-05 00:04:41,RETURNED,WEST
O00115,C0367,2025-11-15 00:04:41,SHIPPED,NORTH
O00116,C0175,2026-05-19 00:04:41,DELIVERED,EAST
O00117,C0360,2025-01-24 00:04:41,CANCELLED,NORTH
O00118,C0131,2025-02-17 00:04:41,CANCELLED,SOUTH
O00119,C0235,2025-02-20 00:04:41,PLACED,WEST
O00120,C0024,2026-06-28 00:04:41,CANCELLED,WEST
O00121,C0338,2026-01-07 00:04:41,CANCELLED,NORTH
O00122,C0272,2026-02-26 00:04:41,RETURNED,WEST
O00123,C0474,2025-02-06 00:04:41,SHIPPED,SOUTH
O00124,C0054,2026-04-15 00:04:41,DELIVERED,WEST
O00125,C0215,2026-07-19 00:04:41,DELIVERED,WEST
O00126,C0494,2025-06-06 00:04:41,SHIPPED,SOUTH
O00127,C0212,2026-01-15 00:04:41,RETURNED,EAST
O00128,C0365,2026-02-26 00:04:41,SHIPPED,SOUTH
O00129,C0320,2026-07-13 00:04:41,SHIPPED,SOUTH
O00130,C0258,2026-05-23 00:04:41,PLACED,EAST
O00131,C0288,2026-03-16 00:04:41,CANCELLED,EAST
O00132,C0450,2024-08-22 00:04:41,PLACED,WEST
O00133,C0075,2024-10-05 00:04:41,SHIPPED,EAST
O00134,C0350,2024-10-11 00:04:41,DELIVERED,SOUTH
O00135,C0386,2025-08-11 00:04:41,PLACED,SOUTH
O00136,C0381,2025-09-11 00:04:41,DELIVERED,NORTH
O00137,C0475,2025-10-09 00:04:41,DELIVERED,NORTH
O00138,C0007,2025-03-04 00:04:41,CANCELLED,SOUTH
O00139,C0467,2026-08-05 00:04:41,RETURNED,SOUTH
O00140,C0398,2025-02-23 00:04:41,SHIPPED,NORTH
O00141,C0096,2026-01-17 00:04:41,PLACED,WEST
O00142,C0143,2024-12-20 00:04:41,DELIVERED,NORTH
O00143,C0170,2025-01-14 00:00:00,DELIVERED,NORTH
O00144,C0397,2026-05-01 00:04:41,DELIVERED,WEST
O00145,C0405,2025-08-10 00:04:41,DELIVERED,SOUTH
O00146,C0490,2024-10-17 00:04:41,SHIPPED,WEST
O00147,C0279,2024-11-11 00:04:41,SHIPPED,EAST
O00148,C0170,2025-03-20 00:04:41,RETURNED,WEST
O00149,C0288,2026-04-06 00:00:00,DELIVERED,WEST
O00150,C0124,2026-04-29 00:04:41,SHIPPED,NORTH
O00151,C0350,2025-09-03 00:04:41,PLACED,WEST
O00152,C0132,2025-05-25 00:00:00,RETURNED,EAST
O00153,C0264,2025-11-08 00:04:41,DELIVERED,SOUTH
O00154,C0165,2024-11-15 00:04:41,RETURNED,NORTH
O00155,C0321,2026-06-26 00:04:41,SHIPPED,WEST
O00156,C0428,2026-02-10 00:04:41,CANCELLED,NORTH
O00157,C0383,2024-09-02 00:04:41,DELIVERED,NORTH
O00158,C0045,2025-02-07 00:04:41,RETURNED,NORTH
O00159,C0295,2025-04-30 00:04:41,CANCELLED,WEST
O00160,C0222,2025-09-11 00:04:41,RETURNED,NORTH
O00161,C0329,2024-10-12 00:04:41,RETURNED,NORTH
O00162,C0359,2025-08-10 00:04:41,PLACED,EAST
O00163,C0403,2026-04-22 00:04:41,CANCELLED,WEST
O00164,C0203,2024-09-09 00:04:41,RETURNED,SOUTH
O00165,C0070,2026-02-18 00:04:41,SHIPPED,EAST
O00166,C0347,2026-06-03 00:04:41,PLACED,SOUTH
O00167,UNKNOWN,2026-03-18 00:04:41,RETURNED,NORTH
O00168,C0157,2025-07-27 00:04:41,RETURNED,SOUTH
O00169,C0083,2026-05-02 00:04:41,SHIPPED,NORTH
O00170,C0093,2026-03-12 00:04:41,RETURNED,WEST
O00171,C0331,2025-06-02 00:04:41,DELIVERED,NORTH
O00172,C0102,2025-12-20 00:04:41,DELIVERED,SOUTH
O00173,C0344,2024-11-19 00:04:41,PLACED,SOUTH
O00174,C0163,2025-07-11 00:04:41,DELIVERED,SOUTH
O00175,C0290,2025-06-28 00:04:41,SHIPPED,NORTH
O00176,C0161,2025-03-23 00:04:41,CANCELLED,EAST
O00177,C0431,2026-07-05 00:04:41,CANCELLED,WEST
O00178,C0229,2025-06-17 00:04:41,PLACED,SOUTH
O00179,C0331,2025-05-23 00:04:41,SHIPPED,SOUTH
O00180,C0135,2026-05-12 00:04:41,PLACED,NORTH
O00181,C0435,2024-09-09 00:04:41,RETURNED,WEST
O00182,C0394,2024-09-15 00:04:41,RETURNED,WEST
O00183,C0335,2025-08-18 00:04:41,RETURNED,EAST
O00184,C0069,2026-01-13 00:04:41,DELIVERED,NORTH
O00185,C0340,2026-04-29 00:04:41,RETURNED,SOUTH
O00186,C0229,2026-03-11 00:04:41,SHIPPED,WEST
O00187,C0481,2025-03-21 00:04:41,SHIPPED,NORTH
O00188,C0136,2024-09-21 00:04:41,RETURNED,EAST
O00189,C0199,2025-11-17 00:04:41,PLACED,EAST
O00190,C0053,2026-01-24 00:04:41,DELIVERED,EAST
O00191,C0297,2025-02-03 00:04:41,CANCELLED,EAST
O00192,C0301,2024-10-27 00:04:41,CANCELLED,SOUTH
O00193,C0265,2025-07-28 00:04:41,CANCELLED,NORTH
