product_id,product_name,category,subcategory,cost_price
P0001,Lamp Product 1,Home,Lamp,2143.54
P0002,Laptop Product 2,Electronics,Laptop,1790.65
P0003,Shirt Product 3,Clothing,Shirt,1160.01
P0004,Laptop Product 4,Electronics,Laptop,1869.43
P0005,Lamp Product 5,Home,Lamp,2174.11
P0006,Headphones Product 6,Electronics,Headphones,4155.83
P0007,Chair Product 7,Home,Chair,3528.36
P0008,Table Product 8,Home,Table,947.96
P0009,Jacket Product 9,Clothing,Jacket,394.45
P0010,Mobile Product 10,Electronics,Mobile,1114.91
P0011,Education Product 11,Books,Education,1881.76
P0012,Lamp Product 12,Home,Lamp,4422.54
P0013,Shirt Product 13,Clothing,Shirt,296.32
P0014,Laptop Product 14,Electronics,Laptop,2148.87
P0015,Education Product 15,Books,Education,3786.97
P0016,Laptop Product 16,Electronics,Laptop,1452.07
P0017,Biography Product 17,Books,Biography,274.82
P0018,Biography Product 18,Books,Biography,1061.89
P0019,Shirt Product 19,Clothing,Shirt,1482.76
P0020,Mobile Product 20,Electronics,Mobile,2181.74
P0021,Jeans Product 21,Clothing,Jeans,1189.05
P0022,Chair Product 22,Home,Chair,3723.1
P0023,Fiction Product 23,Books,Fiction,435.42
P0024,Lamp Product 24,Home,Lamp,2051.89
P0025,Education Product 25,Books,Education,153.24
P0026,Chair Product 26,Home,Chair,3109.72
P0027,Chair Product 27,Home,Chair,574.02
P0028,Biography Product 28,Books,Biography,439.3
P0029,Lamp Product 29,Home,Lamp,1698.69
P0030,Shirt Product 30,Clothing,Shirt,614.43
P0031,Jeans Product 31,Clothing,Jeans,4793.21
P0032,Shirt Product 32,Clothing,Shirt,1317.04
P0033,Jacket Product 33,Clothing,Jacket,3807.8
P0034,Mobile Product 34,Electronics,Mobile,3158.35
P0035,Biography Product 35,Books,Biography,2272.08
P0036,Lamp Product 36,Home,Lamp,2226.83
P0037,Education Product 37,Books,Education,3991.83
P0038,Laptop Product 38,Electronics,Laptop,1586.52
P0039,Fiction Product 39,Books,Fiction,4166.9
P0040,Headphones Product 40,Electronics,Headphones,4283.7
P0041,Education Product 41,Books,Education,4773.45
P0042,Laptop Product 42,Electronics,Laptop,2879.7
P0043,Jeans Product 43,Clothing,Jeans,2531.77
P0044,Laptop Product 44,Electronics,Laptop,4500.68
P0045,Lamp Product 45,Home,Lamp,3248.33
P0046,Mobile Product 46,Electronics,Mobile,4955.38
P0047,Jeans Product 47,Clothing,Jeans,1450.32
P0048,Education Product 48,Books,Education,309.21
P0049,Chair Product 49,Home,Chair,2811.92
P0050,Education Product 50,Books,Education,4265.25
P0051,Jeans Product 51,Clothing,Jeans,3334.88
P0052,Table Product 52,Home,Table,3507.48
P0053,Fiction Product 53,Books,Fiction,4693.11
P0054,Lamp Product 54,Home,Lamp,3968.73
P0055,Jacket Product 55,Clothing,Jacket,4738.19
P0056,Headphones Product 56,Electronics,Headphones,2567.02
P0057,Laptop Product 57,Electronics,Laptop,4758.29
P0058,Table Product 58,Home,Table,4999.88
P0059,Shirt Product 59,Clothing,Shirt,3951.19
P0060,Headphones Product 60,Electronics,Headphones,3843.22
P0061,Jacket Product 61,Clothing,Jacket,853.12
P0062,Jacket Product 62,Clothing,Jacket,2083.75
P0063,Jeans Product 63,Clothing,Jeans,3774.34
P0064,Fiction Product 64,Books,Fiction,1581.87
P0065,Fiction Product 65,Books,Fiction,4738.29
P0066,Education Product 66,Books,Education,3901.71
P0067,Fiction Product 67,Books,Fiction,4016.23
P0068,Jeans Product 68,Clothing,Jeans,2428.92
P0069,Lamp Product 69,Home,Lamp,3571.43
P0070,Laptop Product 70,Electronics,Laptop,843.55
P0071,Biography Product 71,Books,Biography,2215.49
P0072,Jeans Product 72,Clothing,Jeans,4655.84
P0073,Fiction Product 73,Books,Fiction,1901.11
P0074,Fiction Product 74,Books,Fiction,189.53
P0075,Headphones Product 75,Electronics,Headphones,3967.33
P0076,Shirt Product 76,Clothing,Shirt,4157.32
P0077,Jacket Product 77,Clothing,Jacket,3095.97
P0078,Mobile Product 78,Electronics,Mobile,4183.07
P0079,Fiction Product 79,Books,Fiction,1226.32
P0080,Mobile Product 80,Electronics,Mobile,3212.81
P0081,Fiction Product 81,Books,Fiction,4530.48
P0082,Headphones Product 82,Electronics,Headphones,1247.59
P0083,Jeans Product 83,Clothing,Jeans,3093.31
P0084,Jacket Product 84,Clothing,Jacket,3338.64
P0085,Headphones Product 85,Electronics,Headphones,385.01
P0086,Laptop Product 86,Electronics,Laptop,265.5
P0087,Education Product 87,Books,Education,130.4
P0088,Laptop Product 88,Electronics,Laptop,3302.67
P0089,Headphones Product 89,Electronics,Headphones,1695.97
P0090,Laptop Product 90,Electronics,Laptop,4076.87
P0091,Jacket Product 91,Clothing,Jacket,3492.18
P0092,Shirt Product 92,Clothing,Shirt,3892.14
P0093,Fiction Product 93,Books,Fiction,266.84
P0094,Shirt Product 94,Clothing,Shirt,1584.88
P0095,Biography Product 95,Books,Biography,231.27
P0096,Jeans Product 96,Clothing,Jeans,3915.17
P0097,Table Product 97,Home,Table,1871.69
P0098,Biography Product 98,Books,Biography,4784.57
P0099,Chair Product 99,Home,Chair,2512.74
P0100,Chair Product 100,Home,Chair,440.69
P0101,Jacket Product 101,Clothing,Jacket,557.86
P0102,Lamp Product 102,Home,Lamp,2257.28
P0103,Fiction Product 103,Books,Fiction,1790.16
P0104,Headphones Product 104,Electronics,Headphones,1795.17
P0105,Education Product 105,Books,Education,3967.82
P0106,Mobile Product 106,Electronics,Mobile,2060.74
P0107,Shirt Product 107,Clothing,Shirt,3057.49
P0108,Fiction Product 108,Books,Fiction,1218.18
P0109,Table Product 109,Home,Table,2857.86
P0110,Jacket Product 110,Clothing,Jacket,1886.27
P0111,Fiction Product 111,Books,Fiction,2670.83
P0112,Education Product 112,Books,Education,1285.58
P0113,Mobile Product 113,Electronics,Mobile,2520.27
P0114,Biography Product 114,Books,Biography,3886.07
P0115,Fiction Product 115,Books,Fiction,1463.61
P0116,Fiction Product 116,Books,Fiction,4271.49
P0117,Fiction Product 117,Books,Fiction,2253.3
P0118,Headphones Product 118,Electronics,Headphones,4933.54
P0119,Lamp Product 119,Home,Lamp,2733.75
P0120,Chair Product 120,Home,Chair,4640.26
P0121,Jeans Product 121,Clothing,Jeans,650.74
P0122,Shirt Product 122,Clothing,Shirt,2495.41
P0123,Lamp Product 123,Home,Lamp,2363.66
P0124,Jacket Product 124,Clothing,Jacket,375.45
P0125,Biography Product 125,Books,Biography,2652.19
P0126,Biography Product 126,Books,Biography,4863.28
P0127,Laptop Product 127,Electronics,Laptop,2610.93
P0128,Jacket Product 128,Clothing,Jacket,950.72
P0129,Jeans Product 129,Clothing,Jeans,4347.65
P0130,Headphones Product 130,Electronics,Headphones,865.05
P0131,Lamp Product 131,Home,Lamp,4740.04
P0132,Chair Product 132,Home,Chair,3193.53
P0133,Chair Product 133,Home,Chair,3091.42
P0134,Headphones Product 134,Electronics,Headphones,2979.45
P0135,Shirt Product 135,Clothing,Shirt,3617.13
P0136,Lamp Product 136,Home,Lamp,4325.72
P0137,Mobile Product 137,Electronics,Mobile,3866.56
P0138,Lamp Product 138,Home,Lamp,2882.08
P0139,Laptop Product 139,Electronics,Laptop,2750.61
P0140,Table Product 140,Home,Table,4046.38
P0141,Education Product 141,Books,Education,3458.64
P0142,Jeans Product 142,Clothing,Jeans,2348.99
P0143,Lamp Product 143,Home,Lamp,4314.35
P0144,Lamp Product 144,Home,Lamp,1759.58
P0145,Fiction Product 145,Books,Fiction,2599.15
P0146,Laptop Product 146,Electronics,Laptop,656.48
P0147,Fiction Product 147,Books,Fiction,300.5
P0148,Biography Product 148,Books,Biography,4815.29
P0149,Jeans Product 149,Clothing,Jeans,3619.59
P0150,Shirt Product 150,Clothing,Shirt,2597.89
P0151,Education Product 151,Books,Education,495.74
P0152,Biography Product 152,Books,Biography,1241.61
P0153,Chair Product 153,Home,Chair,2499.73
P0154,Education Product 154,Books,Education,4243.5
P0155,Fiction Product 155,Books,Fiction,3651.16
P0156,Education Product 156,Books,Education,303.23
P0157,Jeans Product 157,Clothing,Jeans,413.98
P0158,Biography Product 158,Books,Biography,4946.0
P0159,Mobile Product 159,Electronics,Mobile,1999.82
P0160,Lamp Product 160,Home,Lamp,3787.08
P0161,Jacket Product 161,Clothing,Jacket,2525.39
P0162,Mobile Product 162,Electronics,Mobile,1698.55
P0163,Biography Product 163,Books,Biography,3050.99
P0164,Jeans Product 164,Clothing,Jeans,1626.72
P0165,Biography Product 165,Books,Biography,1531.21
P0166,Lamp Product 166,Home,Lamp,2685.08
P0167,Table Product 167,Home,Table,1873.37
P0168,Laptop Product 168,Electronics,Laptop,3993.94
P0169,Headphones Product 169,Electronics,Headphones,4837.0
P0170,Jacket Product 170,Clothing,Jacket,2428.22
P0171,Fiction Product 171,Books,Fiction,1248.87
P0172,Mobile Product 172,Electronics,Mobile,1602.78
P0173,Jeans Product 173,Clothing,Jeans,2081.37
P0174,Biography Product 174,Books,Biography,3543.59
P0175,Jacket Product 175,Clothing,Jacket,3328.02
P0176,Education Product 176,Books,Education,2325.33
P0177,Lamp Product 177,Home,Lamp,3871.35
P0178,Lamp Product 178,Home,Lamp,4788.82
P0179,Lamp Product 179,Home,Lamp,4710.35
P0180,Table Product 180,Home,Table,3466.69
P0181,Education Product 181,Books,Education,2824.41
P0182,Table Product 182,Home,Table,3399.28
P0183,Education Product 183,Books,Education,4775.31
P0184,Jeans Product 184,Clothing,Jeans,4778.8
P0185,Laptop Product 185,Electronics,Laptop,3297.06
P0186,Fiction Product 186,Books,Fiction,2715.96
P0187,Chair Product 187,Home,Chair,3717.41
P0188,Shirt Product 188,Clothing,Shirt,4530.66
P0189,Jacket Product 189,Clothing,Jacket,545.98
P0190,Lamp Product 190,Home,Lamp,3421.9
P0191,Shirt Product 191,Clothing,Shirt,4890.66
P0192,Jeans Product 192,Clothing,Jeans,4409.2
P0193,Education Product 193,Books,Education,3791.76
P0194,Table Product 194,Home,Table,342.85
P0195,Headphones Product 195,Electronics,Headphones,2699.0
P0196,Mobile Product 196,Electronics,Mobile,4196.14
P0197,Laptop Product 197,Electronics,Laptop,972.24
P0198,Chair Product 198,Home,Chair,2861.41
P0199,Laptop Product 199,Electronics,Laptop,4946.04
P0200,Fiction Product 200,Books,Fiction,2366.7
P0201,Shirt Product 201,Clothing,Shirt,3669.04
P0202,Lamp Product 202,Home,Lamp,3696.26
P0203,Lamp Product 203,Home,Lamp,1006.15
P0204,Education Product 204,Books,Education,479.35
P0205,Mobile Product 205,Electronics,Mobile,2413.4
P0206,Shirt Product 206,Clothing,Shirt,1215.83
P0207,Table Product 207,Home,Table,3628.27
P0208,Laptop Product 208,Electronics,Laptop,3479.2
P0209,Headphones Product 209,Electronics,Headphones,1568.69
P0210,Biography Product 210,Books,Biography,4480.84
P0211,Lamp Product 211,Home,Lamp,4584.85
P0212,Table Product 212,Home,Table,1134.69
P0213,Jeans Product 213,Clothing,Jeans,3751.29
P0214,Table Product 214,Home,Table,4568.34
P0215,Shirt Product 215,Clothing,Shirt,2999.28
P0216,Headphones Product 216,Electronics,Headphones,3533.64
P0217,Headphones Product 217,Electronics,Headphones,4152.43
P0218,Jacket Product 218,Clothing,Jacket,864.46
P0219,Fiction Product 219,Books,Fiction,3598.74
P0220,Fiction Product 220,Books,Fiction,2255.14
P0221,Laptop Product 221,Electronics,Laptop,2106.35
P0222,Headphones Product 222,Electronics,Headphones,4044.23
P0223,Laptop Product 223,Electronics,Laptop,64.93
P0224,Jacket Product 224,Clothing,Jacket,2147.3
P0225,Headphones Product 225,Electronics,Headphones,4676.18
